location_index,location,i,j,x,y,weighted_ess,local_selector_points,pointwise_success_rate,weighted_success_rate,local_success_rate,full_success_rate,raw_report_path
0,"(0,0)",0,0,0.0,0.0,18.326724855487356,18,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_000_i00_j00.json
1,"(0,1)",0,1,11.11111111111111,0.0,23.52706694609097,24,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_001_i00_j01.json
2,"(0,2)",0,2,22.22222222222222,0.0,26.381885850086466,26,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_002_i00_j02.json
3,"(0,3)",0,3,33.33333333333333,0.0,5.990513916783194,6,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_003_i00_j03.json
4,"(0,4)",0,4,44.44444444444444,0.0,3.2145720020489135,3,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_004_i00_j04.json
5,"(0,5)",0,5,55.55555555555556,0.0,26.55848289947327,27,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_005_i00_j05.json
6,"(0,6)",0,6,66.66666666666666,0.0,25.74657715494724,26,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_006_i00_j06.json
7,"(0,7)",0,7,77.77777777777777,0.0,22.256000595101142,22,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_007_i00_j07.json
8,"(0,8)",0,8,88.88888888888889,0.0,19.900999409088808,20,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_008_i00_j08.json
9,"(0,9)",0,9,100.0,0.0,9.97617460023298,10,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_009_i00_j09.json
