location_index,location,i,j,x,y,pointwise,weighted,local,full
0,"(0,0)",0,0,0.0,0.0,0.09830601848481532,0.06161433481948249,0.06254398926885905,0.05371542578058279
1,"(0,1)",0,1,11.11111111111111,0.0,0.11272759592036981,0.05880686816658714,0.061878686623246665,0.05371542578058279
2,"(0,2)",0,2,22.22222222222222,0.0,0.09973336548457541,0.045872903702521,0.04353464154986564,0.047428165029175275
3,"(0,3)",0,3,33.33333333333333,0.0,0.10908833777697154,0.06266505921427648,0.06372505859620865,0.05371542578058279
4,"(0,4)",0,4,44.44444444444444,0.0,0.10905777094959186,0.061665922362143084,0.06411945855049533,0.047428165029175275
5,"(0,5)",0,5,55.55555555555556,0.0,0.09246327205762062,0.057570771902862077,0.06065016274515829,0.05371542578058279
6,"(0,6)",0,6,66.66666666666666,0.0,0.09326379521987398,0.04529009500788288,0.043037326195529885,0.047428165029175275
7,"(0,7)",0,7,77.77777777777777,0.0,0.10748939618993686,0.05755927627668659,0.06202599964907184,0.05371542578058279
8,"(0,8)",0,8,88.88888888888889,0.0,0.09527537657534738,0.05672490606650102,0.06319366065703318,0.05371542578058279
9,"(0,9)",0,9,100.0,0.0,0.09554487021619415,0.05013624933469592,0.04855078886524001,0.047428165029175275
10,"(1,0)",1,0,0.0,11.11111111111111,0.09754616776998849,0.06374973819215654,0.06654517693501694,0.05371542578058279
11,"(1,1)",1,1,11.11111111111111,11.11111111111111,0.09738884537360323,0.06152857840758877,0.06501825265113514,0.05371542578058279
12,"(1,2)",1,2,22.22222222222222,11.11111111111111,0.09292098799919966,0.04544750083417256,0.04309327128722916,0.047428165029175275
13,"(1,3)",1,3,33.33333333333333,11.11111111111111,0.09312707281182638,0.056810537270864894,0.060038262707390745,0.05371542578058279
14,"(1,4)",1,4,44.44444444444444,11.11111111111111,0.0947744859941799,0.0583458432357173,0.059262228179346184,0.05371542578058279
15,"(1,5)",1,5,55.55555555555556,11.11111111111111,0.09071283086538585,0.060195589212918545,0.05938640794786571,0.05371542578058279
16,"(1,6)",1,6,66.66666666666666,11.11111111111111,0.08546999240205194,0.04841688086765093,0.04566764094513462,0.047428165029175275
17,"(1,7)",1,7,77.77777777777777,11.11111111111111,0.11814854204988581,0.04737051838529047,0.04353551754699664,0.047428165029175275
18,"(1,8)",1,8,88.88888888888889,11.11111111111111,0.10857879968934071,0.05993533155893884,0.06360491175120675,0.05371542578058279
19,"(1,9)",1,9,100.0,11.11111111111111,0.09638829534853985,0.05432896021039941,0.05141280168844449,0.047428165029175275
20,"(2,0)",2,0,0.0,22.22222222222222,0.09134176126313173,0.059657120695223755,0.06457926937747929,0.05371544514809907
21,"(2,1)",2,1,11.11111111111111,22.22222222222222,0.09313811867542937,0.05915350836750936,0.05908161696432891,0.05371544514809907
22,"(2,2)",2,2,22.22222222222222,22.22222222222222,0.1075088097793999,0.05985311077888891,0.059466484632874766,0.05371544514809907
23,"(2,3)",2,3,33.33333333333333,22.22222222222222,0.0898011267879507,0.043239612991969045,0.042193055034480495,0.04742814313548289
24,"(2,4)",2,4,44.44444444444444,22.22222222222222,0.10381769713324207,0.06046597841687278,0.059207232662703974,0.05371544514809907
25,"(2,5)",2,5,55.55555555555556,22.22222222222222,0.10512837300094814,0.06004373968699502,0.061122764306293514,0.05371544514809907
26,"(2,6)",2,6,66.66666666666666,22.22222222222222,0.08241169507808603,0.0447794784437031,0.04675046034769157,0.04742814313548289
27,"(2,7)",2,7,77.77777777777777,22.22222222222222,0.09316640622962659,0.04715052736976905,0.04332973243048267,0.04742814313548289
28,"(2,8)",2,8,88.88888888888889,22.22222222222222,0.10179440431536349,0.0623197571357503,0.06339196437003992,0.05371544514809907
29,"(2,9)",2,9,100.0,22.22222222222222,0.10053612283958666,0.05506902089261357,0.05853047053810919,0.05371544514809907
30,"(3,0)",3,0,0.0,33.33333333333333,0.09146276403733172,0.04425403699187028,0.04340953991484031,0.04742814313548289
31,"(3,1)",3,1,11.11111111111111,33.33333333333333,0.10128132506723553,0.059840622231921076,0.060224477682098695,0.05371544514809907
32,"(3,2)",3,2,22.22222222222222,33.33333333333333,0.08716672063961044,0.04545511311393487,0.04418543242450079,0.04742814313548289
33,"(3,3)",3,3,33.33333333333333,33.33333333333333,0.09089101506183024,0.045924418409971045,0.04674173054889186,0.04742814313548289
34,"(3,4)",3,4,44.44444444444444,33.33333333333333,0.09674829244128563,0.047830107352002944,0.04628172371356954,0.04742814313548289
35,"(3,5)",3,5,55.55555555555556,33.33333333333333,0.09706382822432867,0.046005732190549285,0.04978054007013089,0.04742814313548289
36,"(3,6)",3,6,66.66666666666666,33.33333333333333,0.10668985731180929,0.05207824445555399,0.04531647151415865,0.04742814313548289
37,"(3,7)",3,7,77.77777777777777,33.33333333333333,0.09096276989197134,0.0526861290915744,0.03611688645009889,0.04742814313548289
38,"(3,8)",3,8,88.88888888888889,33.33333333333333,0.11196754128110639,0.0622971947807522,0.0601635728907795,0.05371544514809907
39,"(3,9)",3,9,100.0,33.33333333333333,0.08789930344791487,0.05203111431679814,0.052015152183166026,0.04742814313548289
40,"(4,0)",4,0,0.0,44.44444444444444,0.09504341934288647,0.05738452008447569,0.06423919158695829,0.05371544514809907
41,"(4,1)",4,1,11.11111111111111,44.44444444444444,0.10079439949473992,0.059056030754503726,0.059063792699803,0.05371544514809907
42,"(4,2)",4,2,22.22222222222222,44.44444444444444,0.09613182640745092,0.05633635175955803,0.057348458890465366,0.05371544514809907
43,"(4,3)",4,3,33.33333333333333,44.44444444444444,0.11315937755536641,0.06437692816006138,0.06096298769546851,0.04742814313548289
44,"(4,4)",4,4,44.44444444444444,44.44444444444444,0.08984950466678192,0.05484761112066869,0.05657598868194084,0.05371544514809907
45,"(4,5)",4,5,55.55555555555556,44.44444444444444,0.09473242301592419,0.045359583495067586,0.04444459798198443,0.04742814313548289
46,"(4,6)",4,6,66.66666666666666,44.44444444444444,0.09007785648316044,0.05207700517683541,0.07362782164152168,0.05371544514809907
47,"(4,7)",4,7,77.77777777777777,44.44444444444444,0.09078290123774042,0.052713646536351834,0.04928832506390523,0.04742814313548289
48,"(4,8)",4,8,88.88888888888889,44.44444444444444,0.10832353598012485,0.053386277879758415,0.048423376363151485,0.04742814313548289
49,"(4,9)",4,9,100.0,44.44444444444444,0.1051204587953449,0.05182317712553769,0.04181038985478002,0.04742814313548289
50,"(5,0)",5,0,0.0,55.55555555555556,0.09509257367784099,0.06068383248258024,0.06259778812867837,0.04742814313548289
51,"(5,1)",5,1,11.11111111111111,55.55555555555556,0.09590420486133441,0.04676323601845391,0.04360474873002089,0.04742814313548289
52,"(5,2)",5,2,22.22222222222222,55.55555555555556,0.10540826868365641,0.04997150179675056,0.04765436188996977,0.04742814313548289
53,"(5,3)",5,3,33.33333333333333,55.55555555555556,0.09473749003530843,0.04587789028582593,0.045066035922249885,0.04742814313548289
54,"(5,4)",5,4,44.44444444444444,55.55555555555556,0.09794901885398898,0.08048547070010123,0.09794901885398898,0.05371544514809907
55,"(5,5)",5,5,55.55555555555556,55.55555555555556,0.08576612963062462,0.05147719028899225,0.06394647006758152,0.05371544514809907
56,"(5,6)",5,6,66.66666666666666,55.55555555555556,0.09751637140492678,0.053960330749185874,0.045035677438916795,0.04742814313548289
57,"(5,7)",5,7,77.77777777777777,55.55555555555556,0.08916621399622954,0.056677865465845495,0.060541584614075265,0.04742814313548289
58,"(5,8)",5,8,88.88888888888889,55.55555555555556,0.11164233654793561,0.05324491955638861,0.08859987253101743,0.05371544514809907
59,"(5,9)",5,9,100.0,55.55555555555556,0.09672125002828978,0.05578718057962487,0.05668801465396469,0.04742814313548289
60,"(6,0)",6,0,0.0,66.66666666666666,0.09734707187728668,0.059383164822444615,0.05961798587615438,0.05371544514809907
61,"(6,1)",6,1,11.11111111111111,66.66666666666666,0.09423367145434441,0.057161702191244126,0.05776296165118874,0.05371544514809907
62,"(6,2)",6,2,22.22222222222222,66.66666666666666,0.10143280512861598,0.0563933037758708,0.05752416144059767,0.05371544514809907
63,"(6,3)",6,3,33.33333333333333,66.66666666666666,0.09194927107321724,0.04870536625015017,0.05179882598421808,0.04742814313548289
64,"(6,4)",6,4,44.44444444444444,66.66666666666666,0.09708344931727116,0.05580964686295039,0.0510600413561813,0.04742814313548289
65,"(6,5)",6,5,55.55555555555556,66.66666666666666,0.08100165308433847,0.049875222090527256,0.05874731489740503,0.05371544514809907
66,"(6,6)",6,6,66.66666666666666,66.66666666666666,0.09663521215584657,0.05628775207232732,0.04416932318223694,0.04742814313548289
67,"(6,7)",6,7,77.77777777777777,66.66666666666666,0.09920048880578736,0.05388794617815031,0.0236873249485208,0.04742814313548289
